PLOTID,Geo id,Area ha,Country,system:index,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
70,e674c71cfed5745f31c0652bba4d2f39dd7bb473c48e58c2cd63480e025fc288,0.1,CIV,000000000000000002e4,100,0,40,100,100,100,100,60,-,0,0,0,0,-
71,f3d3d092d161c83d3ab7ecf4dec57548c6b66bc997a00226eb4edd775b9cf5b8,0.1,CIV,000000000000000004e3,100,0,100,100,100,100,100,0,-,0,0,0,0,-
72,0d91e0742af24ded8e7ae539b82d65a33fcb6a723fe30173a918c8ba4c1dc459,0.1,CIV,00000000000000000672,100,0,60,100,60,100,100,40,-,0,0,0,100,-
73,50bf7adfa85b3c29535a8db537691778a3367f81e71ce4243acd24d5c659d8ab,0.1,CIV,0000000000000000077d,100,0,60,100,0,100,100,40,-,0,0,0,0,-
74,ac633da8a12b7e1a1d9d2516f19c380dc684db53912dd6b7c0a306c187fe5ff4,0.1,CIV,0000000000000000082e,100,0,100,100,100,100,100,0,-,0,0,0,100,-
75,64033504e1aa3f774c7ac6820b85398ecbb9b16de5bab82d9fe91e9b491f8917,0.1,CIV,00000000000000000f51,100,0,60,100,100,100,100,40,-,0,0,0,0,-
76,92c55f78a31f073c04f46dbeb806692173af55703526d84dd3466b7823c7bcea,0.1,CIV,00000000000000000fab,100,0,40,100,100,100,100,60,-,0,0,0,0,-
77,215582f6c83da86d7104b2d92c4002ba202334e4de15e71e6a3b5650ed4e8fab,0.1,CIV,0000000000000000029b,100,0,100,100,100,100,100,0,-,0,0,0,100,-
78,4008fb6aad83e683135b02456cf5f39ca7d7cc33dcd2c5fe895b49e17986793f,0.1,CIV,000000000000000005f3,100,0,0,100,0,100,100,18,-,0,0,0,0,-
79,3e1117513142d819fac41ddf29684ab08ae14721bdf5a9bbd7385b7cc77c2ce5,0.1,CIV,00000000000000000a48,100,0,100,100,100,100,100,0,-,0,0,0,46,-
80,d51f17e487db8d6f119d26fbde40616ec3893b31d3f520f38e3fa639e22654f3,0.1,CIV,00000000000000000acc,100,0,0,100,100,100,100,28,-,0,0,0,18,True
81,167665ffb3792ded032d932fce6dc7c6ba154ea5c80d59c70cb8026417d2bc29,0.1,CIV,00000000000000000b0d,100,0,0,100,100,100,100,100,-,0,0,0,0,-
82,8b97823bc256e2d8dfdf9b73c4394958a9640022f1cbf810c6d6d127c2621e79,0.1,CIV,00000000000000000bcf,100,0,100,100,100,100,100,0,-,0,0,0,100,-
83,c54f96fc872081a4e594d35a1d8df858cddd6630e90c5af345bb687220cd2b14,0.1,CIV,00000000000000000bd0,36,0,0,100,82,37,100,46,-,0,0,0,100,-
84,f3956666fb8abd63369d02dd42fc3f20fadf67fe5dff0942554c79e78415ff54,0.1,CIV,00000000000000000c11,100,0,100,100,100,100,100,0,-,0,0,0,0,-
85,8f782f5b527a4d51e5f1b3b8b5093810d5a3e400667398c89dc6641b7a2744cf,0.1,CIV,00000000000000000faa,100,0,100,100,100,100,100,0,-,0,0,0,0,-
86,65d217efdf1d0335394da7689ba0db18cdbdb6cfe11548dc73ba148c3724e330,0.1,CIV,000000000000000012ed,100,0,0,100,64,100,100,100,-,0,0,0,0,-
87,efeae71cb0a3edb49781aa4565d6f678cde8937616474eb338da76d6e4d7d1f4,0.1,CIV,00000000000000000498,100,0,100,100,100,100,100,0,-,0,0,0,100,-
88,1f990547fa55ae1d48f7fc3778986622e743df007811e70044092faee3d2b82c,0.1,CIV,00000000000000000571,100,0,83,100,0,0,17,17,-,0,0,0,0,-
89,046089d147682c888cf94b1793b2d4660f7a57425a6bb07d0fdf15a935cabde3,0.1,CIV,0000000000000000090b,0,0,0,100,0,67,100,50,-,0,0,0,100,-
90,fd3854d0917cc3ce0e7d69f5a25513e0035d55563d11bf8fbbce9a2b1e306bb2,0.1,CIV,00000000000000000e90,100,0,25,100,100,100,100,75,-,0,0,0,0,-
91,1d7d20b548595ea53f8de3e1ec3de35de9abb6db0a5e51fb478ebbfc1b665f84,0.1,CIV,00000000000000000e95,0,0,0,100,0,100,100,100,-,0,0,0,100,-
92,f7b0d125a66812a540707dc921a2c8e913545cfbedb9ba03f3fb0102bcf0c311,0.1,CIV,00000000000000001069,100,0,58,100,100,100,100,42,-,0,0,0,0,-
93,0a74129ec2d3d094797f3d104a304e7a53837cc8b33d57897464b24b36b71d25,0.1,CIV,0000000000000000127b,100,0,0,100,100,100,100,100,-,0,0,0,100,-
94,6e6f7aff9697dc6f0ec7b1d8d40efde11c1c4e0ff6d7645aaae4649e9a1a99bc,0.1,CIV,00000000000000001477,8,0,8,100,17,17,100,92,-,0,0,0,100,-
95,6cb13f1439fcee8d2d5f4a4a803483d77576c6c740482cf48665ab6744f14346,0.1,CIV,000000000000000001c1,16,0,8,100,16,92,100,92,-,0,0,0,100,-
96,54409bc6f4c09e9c8b0ba752fa09a01de4cf2862148a74ff50e0d68815dd1607,0.1,CIV,000000000000000005fa,100,0,62,100,100,100,100,38,-,0,0,0,0,-
97,84ad262b7fe89e9e3a0554e93bf96624ff4e4ac3363a2dfe450e048978909bad,0.1,CIV,00000000000000000784,0,0,0,100,62,100,100,77,-,0,0,0,0,-
98,7e93629d11060c0f1474744934236537bf64930c96ecc1346d665977f13b7194,0.1,CIV,00000000000000000b22,100,0,0,100,100,100,100,100,-,0,0,0,77,True
99,1b6e0bf496ec04aa87a0265fa2e828b377a2d28e524648ffc6f59b3c5ace969c,0.1,CIV,00000000000000000c4e,92,0,54,100,92,100,100,46,-,0,0,0,100,-
100,359e4c563593c5c75c3e3d06de984d43aa8acacb70c24a18b46b77f60dc5c59f,0.1,CIV,00000000000000001486,100,0,0,100,31,100,100,100,-,0,0,0,0,-
101,17f4ca21bf913af99abee0aeb869cc076bb92873786bc46d2dce4175753f5bdf,0.1,CIV,000000000000000000a9,100,0,29,100,100,100,100,57,-,0,0,0,0,-
102,336d42d873cdd6ee72ee5e6068e5a34f4b080218547da88b54ab51fdb3ddfeda,0.1,CIV,000000000000000001de,0,0,64,0,0,0,0,36,-,0,0,0,0,-
103,2c8be2a3636a3aa2903b49216f2b584393b5f3b1cdea7cdb3b4251eadbbdad55,0.1,CIV,00000000000000000833,100,0,71,100,93,100,100,29,-,0,0,0,100,-
